"Obs","doby","male","raceeth","lifetime_earn","slifetime_earn","weight"
"1585",1937,0,1,761852.68,1146442.47,2.46703
"1586",1937,0,1,761852.68,4112239.64,2.46703
"1587",1937,0,1,761852.68,1129248.27,2.46703
"1593",1937,0,1,0.00,0.00,2.46703
"1599",1937,0,2,735985.68,775084.81,2.46703
"1602",1937,0,1,1093749.48,1619703.50,2.46703
"1603",1937,0,1,1093749.48,1976945.76,2.46703
"1605",1937,0,2,226000.41,204488.13,2.46703
"1609",1937,0,1,0.00,4324197.67,2.46703
"1610",1937,0,1,1009460.90,1651728.11,2.46703
"1611",1937,0,1,1080197.70,2872692.79,2.46703
"1612",1937,0,1,1040518.13,2022639.93,2.46703
"1613",1937,0,1,0.00,2048464.87,2.46703
"1614",1937,0,1,1227349.41,982138.62,2.46703
"1616",1937,0,1,808144.11,256432.44,2.46703
"1617",1937,0,1,631668.05,1680993.58,2.46703
"1626",1937,0,1,630650.19,1789231.22,2.46703
"1631",1937,0,1,1209238.30,2496716.93,2.46703
"1632",1937,0,1,1209238.30,2767147.00,2.46703
"1634",1937,0,1,0.00,2017062.75,2.46703
"1635",1937,0,1,0.00,2578044.47,2.46703
"1636",1937,0,3,894973.12,230750.50,2.46703
"1637",1937,0,3,894973.12,360194.88,2.46703
"1638",1937,0,3,894973.12,360194.88,2.46703
"1639",1937,0,1,661278.40,234527.51,2.46703
"1640",1937,0,1,661278.40,334134.40,2.46703
"1642",1937,0,2,901214.85,501214.22,2.46703
"1644",1937,0,2,223482.51,679894.24,2.46703
"1645",1937,0,1,1276341.09,1522510.86,2.46703
"1649",1937,0,1,0.00,1089661.24,2.46703
"1650",1937,0,1,0.00,1089661.24,2.46703
"1651",1937,0,1,0.00,1089661.24,2.46703
"1659",1937,0,1,880117.47,2184975.36,2.46703
"1660",1937,0,1,880117.47,2219355.34,2.46703
"1662",1937,0,1,290139.46,0.00,2.46703
"1663",1937,0,1,1094178.50,2441390.98,2.46703
"1664",1937,0,1,1094178.50,2217067.27,2.46703
"1665",1937,0,1,1094178.50,1062835.26,2.46703
"1666",1937,0,1,4206378.72,7161475.79,2.46703
"1667",1937,0,1,4206378.72,7161475.79,2.46703
"1681",1937,0,2,341225.75,1506847.65,2.46703
"1683",1937,0,2,228344.66,1300029.38,2.46703
"1689",1937,0,1,735985.68,1249431.00,2.46703
"1694",1937,0,3,51675.12,496284.77,2.46703
"1695",1937,0,3,51675.12,496284.77,2.46703
"1696",1937,0,1,58791.71,3843130.27,2.46703
"1697",1937,0,1,882540.14,2011687.46,2.46703
"1698",1937,0,1,299249.70,1729615.13,2.46703
"1699",1937,0,2,310429.29,302160.26,2.46703
"1700",1937,0,1,924978.85,2385316.36,2.46703
"1701",1937,0,1,119829.42,1074822.41,2.46703
"1702",1937,0,1,119829.42,1559936.00,2.46703
"1703",1937,0,1,1276248.56,1442975.08,2.46703
"1704",1937,0,1,1276248.56,55780.20,2.46703
"1717",1937,0,2,1016064.35,1170012.98,2.46703
"1718",1937,0,1,2618228.76,1214041.57,2.46703
"1719",1937,0,1,2618228.76,2903640.66,2.46703
"1720",1937,0,1,2618228.76,2903640.66,2.46703
"1721",1937,0,1,399571.62,1498519.74,2.46703
"1724",1937,0,3,668866.06,2378149.31,2.46703
"1725",1937,0,3,668866.06,1890697.17,2.46703
"1726",1937,0,3,668866.06,1508588.94,2.46703
"1727",1937,0,3,668866.06,2557906.06,2.46703
"1728",1937,0,1,0.00,1651063.56,2.46703
"1729",1937,0,2,1468286.89,263935.98,2.46703
"1730",1937,0,2,1468286.89,117389.93,2.46703
"1735",1937,0,1,119829.42,1089661.24,2.46703
"1736",1937,0,1,119829.42,1089661.24,2.46703
"1737",1937,0,1,146562.87,216838.86,2.46703
"1738",1937,0,1,146562.87,216838.86,2.46703
"1740",1937,0,1,1604216.94,3552275.78,2.46703
"1741",1937,0,1,1604216.94,3949719.15,2.46703
"1742",1937,0,1,1604216.94,3754761.85,2.46703
"1748",1937,0,1,648248.16,3461459.46,2.46703
"1752",1937,0,1,190297.03,2016011.24,2.46703
"1756",1937,0,1,870864.23,1020236.72,2.46703
"1757",1937,0,1,738425.17,1032240.69,2.46703
"1758",1937,0,1,738425.17,2444890.39,2.46703
"1759",1937,0,2,215635.02,1445044.44,2.46703
"1761",1937,0,2,907624.82,607920.87,2.46703
"1766",1937,0,1,0.00,1719672.11,2.46703
"1771",1937,0,2,252892.51,1835589.94,2.46703
"1773",1937,0,1,0.00,837199.27,2.46703
"1774",1937,0,1,0.00,455242.46,2.46703
"1776",1937,0,1,0.00,129049.01,2.46703
"1777",1937,0,1,949895.29,376674.06,2.46703
"1779",1937,0,1,415949.85,577957.21,2.46703
"1784",1937,0,1,1271748.12,464891.06,2.46703
"1785",1937,0,1,1271748.12,999349.64,2.46703
"1786",1937,0,1,1469801.05,1201953.48,2.46703
"1787",1937,0,1,1469801.05,28550.44,2.46703
"1788",1937,0,1,58169.22,774066.96,2.46703
"1789",1937,0,1,911982.25,792001.41,2.46703
"1790",1937,0,1,626561.94,215709.79,2.46703
"1791",1937,0,4,0.00,95131.69,2.46703
"1792",1937,0,1,820930.40,2525401.96,2.46703
"1796",1937,0,1,54938.99,3135787.56,2.46703
"1798",1937,0,1,0.00,1513913.76,2.46703
"1802",1937,0,1,733933.14,1129248.27,2.46703
"1805",1937,0,1,631668.05,1937712.03,2.46703
"1807",1937,0,1,875356.26,2760560.37,2.46703
"1813",1937,0,1,0.00,1490360.06,2.46703
"1814",1937,0,1,0.00,1490360.06,2.46703
"1816",1937,0,1,1708963.59,1933018.12,2.46703
"1819",1937,0,3,194191.80,19335.10,2.46703
"1820",1937,0,3,81664.03,780317.10,2.46703
"1821",1937,0,3,81664.03,780317.10,2.46703
"1823",1937,0,1,11474.01,1356272.24,2.46703
"1825",1937,0,1,981818.96,2318600.52,2.46703
"1830",1937,0,1,521066.62,1066233.72,2.46703
"1831",1937,0,4,882540.14,1311208.98,2.46703
"1832",1937,0,4,882540.14,1311208.98,2.46703
